test_case,id,source,language,text,task1,task2
EXIST2021,11,twitter,en,"you weren ' i actually what ? this is not a painted pic , this is reality . own what you are advocating . you say "" facilitators "" - that ' i a stranger examining a rape victim ' i anus , swabbing her vagina . you are telling raped women that their request for same sex care is transphobic .",sexist,ideological-inequality
EXIST2021,12,twitter,en,"let me just say a quick thankyou to ezekial i i mom for this pound of chocolate . ezekial actually drives me crazy at work , but as a 5 year old i have to forgive him and be nice",non-sexist,non-sexist
EXIST2021,13,twitter,en,not the victim card -,non-sexist,non-sexist
EXIST2021,14,twitter,en,that ' i because us and wonderland fans are too busy being dickheads to our shitshow managers and owners to slag off other clubs,non-sexist,non-sexist
EXIST2021,15,twitter,en,aw get over yourselves . women know what a period is . and isn ' i . and we don ' i talk about it or whine about it as much as . . . some disinterested parties .,non-sexist,non-sexist
EXIST2021,16,twitter,en,"i don ' i know any feminists who think the way you ' re accusing us of . if anything , feminism would say the opposite , a woman shouldn ' i need a man or men to make her feel valid anymore than a man should . we should all find that in ourselves .",sexist,ideological-inequality
EXIST2021,17,twitter,en,ha what a knee slapper so freakin true,non-sexist,non-sexist
EXIST2021,18,twitter,en,"i really just want to be rich but not trophy wife rich , rich with my own",sexist,stereotyping-dominance
EXIST2021,19,twitter,en,they don i i even wanna acknowledge that but we i re supposed to break from and destroy some system of misandry for them,non-sexist,non-sexist
EXIST2021,20,twitter,en,"this feels like a cold take on the surface , but i feel like this is hand waving away so much early - is conservative media legwork that was done that has been largely paved over . limbaugh hit it big in 92 when he uttered the first usage of "" feminazi "" i had heard , describing arc .",sexist,ideological-inequality
EXIST2021,21,twitter,en,"now sports nutrition , beef bone broth powder made with premium - quality beef bone extract , 1 . 2 - pound",non-sexist,non-sexist
EXIST2021,22,twitter,en,bitches be begging me to few them just to give me a reason not to few them . lol,sexist,sexual-violence
EXIST2021,23,twitter,en,"i i i going to start demanding that hot lesbians sleep with me , and , if they say no , i i i going to accuse them of misandry and heterophobia . i might throw in a i racist i or i fascist , i too . . . because why not ?",sexist,ideological-inequality
EXIST2021,24,twitter,en,my philosophy : he has a funny mustache what else does a man need,non-sexist,non-sexist
EXIST2021,25,twitter,en,please always take care of yourself as times are getting hard around the world . you are one of the most beautiful women god ever made . hope this reaches you .,non-sexist,non-sexist
EXIST2021,26,twitter,en,"i would dislike a friend like james harden he gave one of the baby i i a prada bag , honey buns , richard mille and $ 100k . of now i have to remember your birthday and go buy you something worth more fuck ! just give me the honey buns and send me a text . for with all the extra shit !",non-sexist,non-sexist
EXIST2021,27,twitter,en,"you ' re a beautiful woman with a beautiful heart i still think you ' re the sexiest . . now bend over , daddies gonna spank you",sexist,sexual-violence
EXIST2021,28,twitter,en,looks like a cool boss lady,non-sexist,non-sexist
EXIST2021,29,twitter,en,"and people who can ' i be vaccinated , you know , like pregnant and nursing women , people who have had organ transplants , those with cancer , etc .",non-sexist,non-sexist
EXIST2021,30,twitter,en,"women make it about themselves , children can live without you touching them every second . the child is not a toy but a full human being if kids could talk from day one they would tell you to leave them alone 90 % of the time .",non-sexist,non-sexist
EXIST2021,31,twitter,en,"i love poetry books , so i i i reading the one i have on this plane flight and one of the flight attendants ( black women ) goes i it i i good to see a brotha reading something that i i is so deep i",non-sexist,non-sexist
EXIST2021,32,twitter,en,"and you are right , the problem is the war between left and right while if they work together they can do great things , the equality need freedom and freedom need equalityright have many things to help peopleleft have the humanity who can gain great things to improve society",non-sexist,non-sexist
EXIST2021,33,twitter,en,fucki hate that there is literally a good amount of people lucky enough to even share the same space with you for even some secondhand they fucking behave like this . ( even as an accident ) ahi would die even if i was in the same city as you,non-sexist,non-sexist
EXIST2021,34,twitter,en,"women with big knockers shouldn i i wear patterned tops , draws attention to themselves also too low ,",sexist,objectification
EXIST2021,35,twitter,en,that i i because she was seriously mentally ill ( just like workin & millet ) . radical feminism ( which is more accurately described as carrera separatism ) has a decades long habit of putting the unhinged front & center .,sexist,ideological-inequality
EXIST2021,36,twitter,en,i learned needlepoint to pick up chicks when traveling . # pua # grow,sexist,misogyny-non-sexual-violence
EXIST2021,37,twitter,en,"the people deserve to know why they are being denied $ 2 , 000 / month survival checks . couid - 19 relief should not be debated behind closed doors .",non-sexist,non-sexist
EXIST2021,38,twitter,en,"i have read the bible and you are right . the letters of it paul are supporting the oppression of women ( to give one example out of many ) . also , if being swallowed by a large fish and coming out of it alive is natural law , then i would travel by fish and not by boat .",sexist,stereotyping-dominance
EXIST2021,39,twitter,en,this is a super news for the # womensrights .,non-sexist,non-sexist
EXIST2021,40,twitter,en,""" on tuesday , eritrean forces killed 81 civilians who were hiding in the al - nashi mosque , "" a woman from the gray town of neash tells me over the phone . she managed to escape the massacre & arrived in merely , last wednesday after walking 4 more than 10",non-sexist,non-sexist
EXIST2021,41,twitter,en,bac men are so superior to inferior little asian men like me . i love the snowbunnies that have handsome bac bulls as boyfriends / fuck buddies - they are alpha men nor a indict loser like me . i would love to serve a couple & be fucked by them @ checklist midlands uk # queenofspades,sexist,ideological-inequality
EXIST2021,42,twitter,en,except for the human you murdered . all in the name of whoring yourselves out . good job feminists,sexist,ideological-inequality
EXIST2021,43,twitter,en,wow people are actually scared of a single woman भारतीय नारी i i भारी and these traitors should be scared of her . remember one thing you can stop one kanga but uncountable kanga will counter back and stand for what is right,sexist,stereotyping-dominance
EXIST2021,44,twitter,en,we can discuss that later but the important part is you awesome beautiful queen goddess,non-sexist,non-sexist
EXIST2021,45,twitter,en,the cock carousel is exhausting .,non-sexist,non-sexist
EXIST2021,46,twitter,en,"you ' re a trans - woman , not a woman . you ' re mansplaining women ' i rights , period .",sexist,ideological-inequality
EXIST2021,47,twitter,en,the prompt isn i i posted yet . . . i i i a free woman till 9 am try what else ? ?,non-sexist,non-sexist
EXIST2021,48,twitter,en,ive been sooo interesting my whole life and i just want to be a boring trophy wife now,sexist,stereotyping-dominance
EXIST2021,49,twitter,en,"police searching for man accused of stealing woman i i purse from inside business , driving off with her i read more : # businessman # businessstrategy # education # entrepreneur # entrepreneurship # newbusiness # onlinebusiness # products # services ~",non-sexist,non-sexist
EXIST2021,50,twitter,en,i need someone to make me cum my pussy is throbbing for some cock do me for some fun ; ) # horny # do # sext # sexting # trade # tribute # contribute # pussy # wet # orgasm # cumulus # slut # sex # fuck # dirtytalk # verbal # porn # cock # cum # dirty # hornyfemale # wetpussy,sexist,sexual-violence
EXIST2021,51,twitter,en,"hello stalker in scotland using google chrome an app i do not use won ' i supply and ip address though , # stalked # harassed # loggedinsametimeasme # nowherenearscotland # differentisland",non-sexist,non-sexist
EXIST2021,52,twitter,en,"new realm # 48 - grow debate is . lamprey milt | i debated a member of the grow community , which is closely related to intels . - - - # podcast # podcasts # intel # grow # alright # debate",non-sexist,non-sexist
EXIST2021,53,twitter,en,you look like a prostitute that literally no one would go to,sexist,misogyny-non-sexual-violence
EXIST2021,54,twitter,en,"back ! back to limbaugh , your creator , feminazi ! seriously , you lost by over 6 million votes . you lost decisively , and definitively . you lost humiliatingly . you make yourself a bigger loser by claiming you were so entitled to win , you just couldn ' i have lost . stop whining .",sexist,ideological-inequality
EXIST2021,55,twitter,en,""" all the shouting against the white men was not hate . it was love . twisted , but love all the same . "" that ' i what ' i going on here",non-sexist,non-sexist
EXIST2021,56,twitter,en,and am i the only suburban white woman whose neighborhood is still standing ? ?,non-sexist,non-sexist
EXIST2021,57,twitter,en,do all you democrats smoke crack democrat i never knew that we have people like you guys that could hate the united states has much always want to blame one person remember we cannot fight something that we cannotbe always wanting to blame president trump it ' i not just one guy,non-sexist,non-sexist
EXIST2021,58,twitter,en,"willie is twisted for inciting this but lets be honest wok willie was always problematic from the start . is manila tho . . . hunny . . . instead of defending an empowered woman who was comfortable in her own skin , she chose to let a man i i taunting words stroke her ego . . . disgusting",sexist,misogyny-non-sexual-violence
EXIST2021,59,twitter,en,ladies don i i get fooled before the year is up that 600 bout to get real spooky . .,non-sexist,non-sexist
EXIST2021,60,twitter,en,"yeah , go for a vat of slag .",non-sexist,non-sexist
EXIST2021,61,twitter,en,was the manspreading crusade of the 2010s a stop or was that real ? do we know,non-sexist,non-sexist
EXIST2021,62,twitter,en,# factcheckingdespotabiyahmed : out of the ask tigrayans fled to sudan more than 700 women are pregnant and 150 of them are survivors of gender based violence . # abiyliesethiopiadies # tigraygenocide # stopwarontigray,non-sexist,non-sexist
EXIST2021,63,twitter,en,the intimidating yell of the woman was demanding and he didn i i dare want to make her angry . he feels back and this time he puts all his strength behind the spank that contacts her ass .,sexist,sexual-violence
EXIST2021,64,twitter,en,what does you getting pregnant have anything to do with the decision to get the vaccine ? it doesn ' i sterilize you . if anything you should probably want to be immune to a contagious disease before you get pregnant .,non-sexist,non-sexist
EXIST2021,65,twitter,en,"+ adaptation but - we don ' i know what tears will look like in the adaptation yet , he might not be blonde and kinda dumb ( no offense i love teddy : i ) and the other cast might not be like how they look like in the book i \ _ ಠ‿ಠ _ / i",non-sexist,non-sexist
EXIST2021,66,twitter,en,rat and skank,sexist,misogyny-non-sexual-violence
EXIST2021,67,twitter,en,want to settle down now that you ' ve gotten bored with the cock carousel ?,sexist,misogyny-non-sexual-violence
EXIST2021,68,twitter,en,"she i all laugh at the response . i like a villain in guessing . i another small chuckle from the lovely lady before actually responding . i writing , vibing , throwing knives into a cutting board when i i i not playing five finger fillet with them . i",non-sexist,non-sexist
EXIST2021,69,twitter,en,"and the thing that makes sexual assault is not the specific act being carried out , but rather the lack of consent to that act , whatever it happens to be , kink or vanilla or fucking street harassment",non-sexist,non-sexist
EXIST2021,70,twitter,en,scientific truthmales can never be femalesfemales can never be male no to flat earth # get my nicholson - he fails # perth # scotland - mermaids two below shows his agendanec now changed - same # see - maps voted out if fail to uphold # eqa2010 # womensrights + child # safeguarding then maps,non-sexist,non-sexist
EXIST2021,71,twitter,en,can i i believe peter prices burner account just called me a slag lol,sexist,misogyny-non-sexual-violence
EXIST2021,72,twitter,en,"by your dumb logic , gays , the infertile , and post menopausal women shouldn ' i be allowed to have sex because they can ' i reproduce .",non-sexist,non-sexist
EXIST2021,73,twitter,en,blog if i can tease your thick cock,sexist,sexual-violence
EXIST2021,74,twitter,en,"wouldn ' i showing womens football of any level promote it more . as i said she is good , but in an age where we go on about equality it seems there is disparity between what is required as a woman and what is required as a man which cannot be argued .",sexist,stereotyping-dominance
EXIST2021,75,twitter,en,i hate fu someone said i where the real women at i and in the comments someone else said i church i and a dude responded with i every girl i met at church was a whore i,sexist,stereotyping-dominance
EXIST2021,76,twitter,en,"slackers . one year i ordered hubs a huge new grill from amazon ; i had to use my feet to roll it over because it was so heavy , and it looked like something frankenstein had wrapped , because it took 3 rolls of paper , but i did it ! now i ' ve learned the trick - don ' i wrap the bottom .",non-sexist,non-sexist
EXIST2021,77,twitter,en,"still waiting for a response from the crown i * tech of saudi arabia ! you think i care that your a "" crown prince "" . no ! ! i how does it feel to kill & dismember a journalist or imprison a female activist for having the audacity to say that women should be able to drive ? fu ! ! !",sexist,ideological-inequality
EXIST2021,78,twitter,en,"> lascivious - foxxy minx > foxxy minx does some of her early porn auditions for spunky gunk films ! masturbate , tease , suck cock and fuck ! # god { } # pyp",sexist,sexual-violence
EXIST2021,79,twitter,en,"you don ' i know anything . you can ' i know and furthermore , you don ' i actually want to know . and i don ' i feel any sympathy at all for males who envy women . i don ' i have any empathy at all for any envied . envy is a psychological / emotional problem . envies are deformed .",non-sexist,non-sexist
EXIST2021,80,twitter,en,aye kam u will follow y ' all because the more men y ' all kil means more women for some sooo kill all the men u want # kam,sexist,ideological-inequality
EXIST2021,81,twitter,en,i ' i a random ass slapper too lao,non-sexist,non-sexist
EXIST2021,82,twitter,en,first thing i see are her slut nails,sexist,objectification
EXIST2021,83,twitter,en,"you either believe in the full equality of men and women or you do not . in feminism lite , that men are naturally superior but should be expected to i treat women well i . no . no . no . there must be more than male benevolence as the basis for a woman i i well - being .",sexist,ideological-inequality
EXIST2021,84,twitter,en,ayah ! i just saw you on the telly ! said to my wife i i follow her on twitter ! she i i a mansplaining magnet ! i # ambushers,sexist,sexual-violence
EXIST2021,85,twitter,en,promoting a master class for fame is the funniest shit . this girl is the prime example of what happens when you give stuck up ignorant self obsessed people fame . what are the tips to be a bitch and always victimize urself ? oh and be racist and never take accountability .,sexist,ideological-inequality
EXIST2021,86,twitter,en,"i want a doll cuz i hate people , not women , i don ' i feel good talking with people i don ' i know , so my chance of getting a of is zero , mostly because i don ' i want to be hurt like my first and last time in a relationship .",non-sexist,non-sexist
EXIST2021,87,twitter,en,"lol you i re nutting in women you find ugly ? yet fucking them alone ? men i tell you , no standards",sexist,sexual-violence
EXIST2021,88,twitter,en,some women have to start holding their friends accountable for these ways of thinking . i just don ' i understand some of these expectations yall have for us men . . . 1 . she was late . 2 . how do you prioritize a date before feeding your child ? maybe i ' i wrong,sexist,stereotyping-dominance
EXIST2021,89,twitter,en,former aide # lindseyboylan alleges crooked # democrats # network gov # andrewcuomo ' # sexually # harassed ' her about looks - # media covers it up ! - # america # usa # rightback # takeaction put pressure on your politicians ! # georgia # vote # republican !,sexist,sexual-violence
EXIST2021,90,twitter,en,why hate on a beautiful woman making her money ? i rather learn from them . that i i the difference between you and me . i admire women while you hate and try to shade them . do better .,non-sexist,non-sexist
EXIST2021,91,twitter,en,thinking about disney ' i cultural empire and how american mythos is inherently linked to puritan industriousness that exploits every ounce of value out of every resource it encounters with no regard for quality or utility of the product it creates from the plunder . word,non-sexist,non-sexist
EXIST2021,92,twitter,en,tell me why i find this picture attractive,non-sexist,non-sexist
EXIST2021,93,twitter,en,"kalian says it is unfortunate that a day hardly passes without hearing of a case of rape , defilement and other violence against girls , women and children .",sexist,sexual-violence
EXIST2021,94,twitter,en,"set a time everyday for shower / bath time , set an alarm try to stick to it . and remember depression is a bitch , but a nice shower goes along way in making you feel less like crap . also invest in nice bath products . as our old chef would say you look good you cook good < 3",non-sexist,non-sexist
EXIST2021,95,twitter,en,# notallmen admit defeat,non-sexist,non-sexist
EXIST2021,96,twitter,en,amen . i i ve had men and women make nasty comments or assumptions based on clothes i i ve worn to shows . maybe mind your business and just enjoy the wrestling,non-sexist,non-sexist
EXIST2021,97,twitter,en,"it must bother you that you ' re a supposed feminist , but you suddenly find yourself in lockstep with the religious right , when you ' ve probably fought them on everything all your life . they didn ' i suddenly become feminists . they ' re the patriarchy , and they love what you ' re doing .",sexist,ideological-inequality
EXIST2021,98,twitter,en,. . . old men with twisted behaviours on children # ancora ? uk journalist & brother still with zero # humanrights after 45 yrs # harassed # bullied # blacklisted,non-sexist,non-sexist
EXIST2021,99,twitter,en,no you look like a whore,sexist,objectification
EXIST2021,100,twitter,en,if men have chance to be gold digger they do it with 0 shame,non-sexist,non-sexist
EXIST2021,101,twitter,en,"i love how "" "" is the emoji you chose to represent how hot women are",sexist,objectification
EXIST2021,102,twitter,en,just got my wise guys out . . . women can ' i tell me that i don ' i know the pain of childbirth anymore,sexist,ideological-inequality
EXIST2021,103,twitter,en,did you really get double gangbanged in 1 video ?,sexist,sexual-violence
EXIST2021,104,twitter,en,"so , what exactly do u wish to have been done ? go and drag her out ? i dont understand . we are all adults . i think until we begin to tell women that they are not less humans and can take their own decisions and responsibilities , we cant make progress if we keep shifting blame",non-sexist,non-sexist
EXIST2021,105,twitter,en,a young girl with mismatched eyes and the ability to speak to ghosts comes of age in puritan new england # pitied # i # ya # i,non-sexist,non-sexist
EXIST2021,106,twitter,en,the patriarchy is really regretting allowing women to read right now . . . # drjillbiden # patriarchy # driven # kamalaharris,non-sexist,non-sexist
EXIST2021,107,twitter,en,"yep , whole new use of cock - block",non-sexist,non-sexist
EXIST2021,108,twitter,en,"des are open for rates ! men and women send me your pics , bonus points if it i i a video # sext # horny # sex # porn # cum # cumulus # dick # cock # penis # dickie # tits # boobs # topic # dime # nudes # rates # whore # slut # bi # gay # lesbian",non-sexist,non-sexist
EXIST2021,109,twitter,en,certified slapper,non-sexist,non-sexist
EXIST2021,110,twitter,en,"you know the world is a hot mess when a girl on tiptoe makes + $ ask for a sec vid of her pulling faces , not particularly uniquely either . you all know people do that to try make babies laugh . . . right ?",non-sexist,non-sexist
EXIST2021,111,twitter,en,"wow that gift of a bracelet to susanna reid , was so touching . he certainly wants her . i dont blame him , susanna is such a sexy women , especially showing us all in that red sparkly outfit . he did make an impression on her , i wonder if he finally got to bang her after that .",sexist,objectification
EXIST2021,112,twitter,en,your beautiful,non-sexist,non-sexist
EXIST2021,113,twitter,en,thanks babes,non-sexist,non-sexist
EXIST2021,114,twitter,en,imagine being traditionally attractive . . . i can not relate to any capacity,non-sexist,non-sexist
EXIST2021,115,twitter,en,dude why is he playing the victim card,non-sexist,non-sexist
EXIST2021,116,twitter,en,i i i a woman so i see this stuff and i understand your argument but i feel like saying the white men that do cruel inhumane things to women and people shouldn i i be glossed over if you i re comparing the races i i i not a racist by any means women hate men stems from men kill us every,sexist,misogyny-non-sexual-violence
EXIST2021,117,twitter,en,im a sagittarius so i hate sagittarius women,sexist,misogyny-non-sexual-violence
EXIST2021,118,twitter,en,""" i - havah . . . yes . . . i i - did . . . fuck . . . "" tyler whimpered , biting his lower lip as his back arched , that fat thumb touching his sensitive folds making his eyes flutter shut . some more of that glistening liquid dripped out of the boy ' i blossoming cunt , the pink flesh inside shiny i >",non-sexist,non-sexist
EXIST2021,119,twitter,en,"birthday to you , may god continue to shower his infinite blessings on you and your family",non-sexist,non-sexist
EXIST2021,120,twitter,en,"black men protect your friends & family only . these pro black women only , burn the cape , divest , black feminazi twitter don ' i like you . risking your life for them is the same as risking your life for a colonize . let these grown adults protect themselves .",sexist,ideological-inequality
EXIST2021,121,twitter,en,i ' i just waiting to hear about the 2020 version of the oedipus complex : the child ' i repressed desire to transition their single parent dad into a mother in order to sleep with . . . them . or maybe it ' i the other way round now . i can ' i keep up . love is love,non-sexist,non-sexist
EXIST2021,122,twitter,en,well hello isn i i kathy skirt very short,sexist,objectification
EXIST2021,123,twitter,en,"yes , severity . and i agree with you but i don ' i give a fuck what the numbers say . the fact remains that if a film crew breaks out then the film is shut down until they have recovered . i would like to go to a movie theater again to see something other than a 25 year old movie .",non-sexist,non-sexist
EXIST2021,124,twitter,en,that i i why i i i so proud of the work we do in today,non-sexist,non-sexist
EXIST2021,125,twitter,en,"this was posted on my instagram in 2013so no , it has nothing to do with the or # watergate # repost # happyveteransday yay # school # thankyou # emts # doctors # soldiers # marine # navy # army # airforce # veterans # police # government for # fighting for # our # freedom",non-sexist,non-sexist
EXIST2021,126,twitter,en,i men can i i be feminists i is a term red flag just fyi,sexist,ideological-inequality
EXIST2021,127,twitter,en,whooo once in million that happens y i all get hella happy like fam y i all need to chill man this hilarious url literally damn if you damn if you don i i url literally has to be that a + plus student for life but if they get a - it i i problems in the house lol .,non-sexist,non-sexist
EXIST2021,128,twitter,en,me : loony west is canceled fuck that shucking i jiving sunken place white womens whore ! ! ! also me listening to family business :,sexist,objectification
EXIST2021,129,twitter,en,"if that i i my child being hit , i i i coming down to the field to sodomize him ( the coach ) . maybe that i all teach him to chill out",non-sexist,non-sexist
EXIST2021,130,twitter,en,""" baby boy , this is what you get when you tease me , "" the dom says , rubbing his cock as he watches his baby squirm against his restraints . "" i ' i sorry , daddy , please just let me cum . "" the dom just grabs their baby ' i throat , looks into his eyes , and says , "" i don ' i think so . """,non-sexist,non-sexist
EXIST2021,131,twitter,en,have you seen that one cousin where he got gangbanged tho,non-sexist,non-sexist
EXIST2021,132,twitter,en,vey i look better then any nigga you ever fucked wit in ya life lor you like ugly niggas because you can control them you know i i i one of them niggas that make a nigga hide they bitch that i i why you don i i like me and always assume shit,sexist,misogyny-non-sexual-violence
EXIST2021,133,twitter,en,gold digger,sexist,stereotyping-dominance
EXIST2021,134,twitter,en,* she pulls down her combat skirt and her panties as her cock hit your pussy * oh i won i i tease you kitten ~,sexist,sexual-violence
EXIST2021,135,twitter,en,"just wait a few years , and the lobbyist feminazi will pass laws allowing killing us . . .",sexist,ideological-inequality
EXIST2021,136,twitter,en,y ' all wouldn ' i believe if i told ya that i went an extra length to learn how to make boobs bigger for editsーthe mun is a girl who stays true to her ideals .,sexist,objectification
EXIST2021,137,twitter,en,"oh and skippy ? what are you going to do when women refuse to have sex unless they want to have a baby ? who are all you intels going to fuck then ? no , wait . you don ' i get fucked now , so nothing will change for you . it ' i still a punitive , stupid law that serves no purpose .",sexist,objectification
EXIST2021,138,twitter,en,oh my . the for sharing this beautiful little lady ' i journey . peace and blessings as your carry her spirit i you . always .,non-sexist,non-sexist
EXIST2021,139,twitter,en,there ' i been an influx of people who refer to themselves as gender critical radical feminists - be aware that these people are part of a hate group that radical right wing evangelicals finance to break up the lgbtqia + unity . their goal is to legalize conversion therapy .,sexist,ideological-inequality
EXIST2021,140,twitter,en,"i ladies is it hot that i i i good at geoguessr ? i wilbur i don i i like men , but yes i find it attractive",non-sexist,non-sexist
EXIST2021,141,twitter,en,"lady boss social an intimate i interactive business event with real inspiration , essential lessons and valuable advice from women entrepreneurs for today i i lady boss ; allowing for authentic connections and cultivated collaborations . join the wait list .",non-sexist,non-sexist
EXIST2021,142,twitter,en,"quoting a news report about pompey , you can ' i tweet that pakistan is marketing hindus and christian women a concubines .",sexist,stereotyping-dominance
EXIST2021,143,twitter,en,this is a very nice day to remind you all that # qatar isn ' i capable of responding quickly when it comes to important things ! just like the recent issue that happened in # dohaairport . 18 female passengers were extremely # harassed by the airways ' employees !,sexist,sexual-violence
EXIST2021,144,twitter,en,"why do you believe a judge ( or ag ) would violate his sworn oath of office and rule on politics rather than the law ? seriously . is that what you do ? these women and men decide on evidence , not shouting from pops . don ' i suppose others lie . it is unwarranted , and i bet you know that",non-sexist,non-sexist
EXIST2021,145,twitter,en,"but the problem is also with women , most muslim women are more feminist than gloria steiner , very convinced they can incorporate feminism in their beliefs , while forgetting that both are opposites of each other .",sexist,ideological-inequality
EXIST2021,146,twitter,en,like it i i literally not my fault i i i ugly & im sorry that i can i i be this masculine child that you want . : /,non-sexist,non-sexist
EXIST2021,147,twitter,en,call me sexist but i ' ve never seen a girl eat a whole large dominos pizza by herself,sexist,stereotyping-dominance
EXIST2021,148,twitter,en,"no actually i like doing this , i have nothing better to do , and i want to see the moment he realises we aren ' i comparing rape to cheating , were comparing what happens its in them . i don ' i actually care to "" take u "" i want to see when his brain becomes less smooth , 1 / 2",non-sexist,non-sexist
EXIST2021,149,twitter,en,"the goal in hit is to stimulate the hormone levels of a cis woman . as far as the structures you mentioned , there are cis women cis women who have all of those features as well , should they be excluded ?",non-sexist,non-sexist
EXIST2021,150,twitter,en,can the fellas participate or is this just for the ladies / non binary people because i don i i wanna get clowned .,sexist,ideological-inequality
EXIST2021,151,twitter,en,"look at you pathetic little bitch ! now i want you to say "" im a weak # submissive slut for daddy amy "" then $ end me i 40 on your knees ! i dont care if its your last 40 i bitch , your only purpose in life is to $ serve medal with it ! now $ end like a good little pig ! @ rtfindom23",sexist,sexual-violence
EXIST2021,152,twitter,en,i couldn i i give a shit about what chrissy tiger is doing if someone paid me to care about what she i i doing . i do not like that woman,non-sexist,non-sexist
EXIST2021,153,twitter,en,thankful they are setting the bar low . they could have some anti - patriarchy feminazi from sweden bitching about usa death penalty - like greta thuneberg,sexist,ideological-inequality
EXIST2021,154,twitter,en,what absolute tosh is this article ? ? ? what kind of idiot writes this in the just century ? ? can you imagine this being asked of a man ? ? ? # everydaysexism # women,sexist,ideological-inequality
EXIST2021,155,twitter,en,don i i forget to clean your weapons ladies . last thing you need is a misfire if you i re in a life or death situation because you didn i i clean your piece .,non-sexist,non-sexist
EXIST2021,156,twitter,en,"as soon as men spot a fashion trend / artist / literally anything that most women happen to be really in to / enjoy , they label it as being i basic i and then try their hardest to make women feel embarrassed for liking / enjoying said thing . . . he",sexist,stereotyping-dominance
EXIST2021,157,twitter,en,"do feminists not like you ? "" we don ' i see things similarly outside of the workforce . the concept of men as hunters and women as prey seems to gall them ( because they miss the point . ) i ' ve said that a good woman should feel empowered and sexy to -",sexist,ideological-inequality
EXIST2021,158,twitter,en,go get ' em . . . kick ass !,non-sexist,non-sexist
EXIST2021,159,twitter,en,why did netflix cast a white woman for a latina character . i literally was so excited until i realized the majority of the whole cast is white,non-sexist,non-sexist
EXIST2021,160,twitter,en,attention ! ! this dirty whore is in a very naughty mood ! ! ! do me if you want to see this uncensored # rayborn # hornygay # dime # dmsopen # nude # gaynude # cheapslut # ftmporn # cunty # malepussy,sexist,sexual-violence
EXIST2021,161,twitter,en,dang $ 17 a pound,non-sexist,non-sexist
EXIST2021,162,twitter,en,is that the same woman who ' empowered herself ' by using men to climb her social ladder ! ! !,sexist,ideological-inequality
EXIST2021,163,twitter,en,. . . republican trophy wife . . .,sexist,objectification
EXIST2021,164,twitter,en,because that i i different . women can easily be taken advantage of and forced to do something . boys at that age are willing participants . we all were that age and that was a dream for most teenagers,non-sexist,non-sexist
EXIST2021,165,twitter,en,manspreading bros,non-sexist,non-sexist
EXIST2021,166,twitter,en,"if you i re a man talking to a woman , shut the fuck up . we i ve heard enough of your mansplaining .",sexist,ideological-inequality
EXIST2021,167,twitter,en,"performative # misandry has allowed # women a way to voice their displeasure with the # patriarchy in a manner that is relatively safe and harmless . hurt # feelings suck , but they pale in comparison to large - scale institutional slights .",sexist,ideological-inequality
EXIST2021,168,twitter,en,women today . . where do u workto you own your own house have you got your own officewhat car do you driveth that ' i not pa,sexist,stereotyping-dominance
EXIST2021,169,twitter,en,glad it wasn ' i just me who saw the # everydaysexism in this # twittered,non-sexist,non-sexist
EXIST2021,170,twitter,en,""" are you thirsty means i ' i thirsty is ' basic human expression ' "" she ' i basically saying that women live in literal opposite day . . . everyday",non-sexist,non-sexist
